nu_ano_censo,sg_uf,qt_mat_bas,qt_tur_bas
2024-01-01,AC,248340.0,12360.0
2024-01-01,AL,863732.0,38056.0
2024-01-01,AM,1153833.0,53563.0
2024-01-01,AP,213712.0,10305.0
2024-01-01,BA,3416549.0,165666.0
2024-01-01,CE,2132934.0,95840.0
2024-01-01,DF,629593.0,28864.0
2024-01-01,ES,869379.0,40325.0
2024-01-01,GO,1550149.0,67400.0
2024-01-01,MA,1850984.0,91700.0
2024-01-01,MG,4294157.0,207627.0
2024-01-01,MS,679596.0,30231.0
2024-01-01,MT,898482.0,41212.0
2024-01-01,PA,2206871.0,102214.0
2024-01-01,PB,949125.0,45932.0
2024-01-01,PE,2121954.0,95891.0
2024-01-01,PI,829549.0,40497.0
2024-01-01,PR,2498963.0,125231.0
2024-01-01,RJ,3421235.0,158197.0
2024-01-01,RN,783190.0,36622.0
2024-01-01,RO,383849.0,17477.0
2024-01-01,RR,185657.0,8982.0
2024-01-01,RS,2227679.0,123305.0
2024-01-01,SC,1768874.0,94376.0
2024-01-01,SE,526786.0,24788.0
2024-01-01,SP,9998443.0,448674.0
2024-01-01,TO,385307.0,18719.0
